"","Gene","p.value","q.value"
"DDHD2","DDHD2",2.01690656604956e-08,0.000346202012062407
"IPO11","IPO11",2.87574418950779e-10,4.93621490129012e-06
"SNX10","SNX10",7.83247715027675e-13,1.344444702845e-08
"CEACAM6","CEACAM6",1.38392728202714e-36,2.37551117959958e-32
"AURKA","AURKA",5.83355061899569e-07,0.0100132896375061
"ALG6","ALG6",2.85052838000729e-10,4.89293196428252e-06
"TGDS","TGDS",3.5949825781349e-13,6.17078759536855e-09
"OAS1","OAS1",1.48524247636941e-06,0.025494187106881
"FXYD3","FXYD3",1.58818955442134e-11,2.72612737016422e-07
"LYZ","LYZ",2.59196207062748e-15,4.44910289423207e-11
"ZNF268","ZNF268",3.81223902731514e-14,6.54370829038644e-10
"NRCAM","NRCAM",5.12058962326138e-19,8.78949208832816e-15
"PPP2R3C","PPP2R3C",4.57755468129297e-07,0.00785737261043937
"G2E3","G2E3",4.44075995797483e-14,7.62256446786379e-10
"TGFB2","TGFB2",1.02144575979449e-06,0.0175331164668724
"UPRT","UPRT",1.45286476331412e-06,0.0249384236622868
"IKZF5","IKZF5",3.61513168135306e-08,0.000620537353104253
"EFHC1","EFHC1",7.33983849924715e-09,0.000125988327839577
"ZNF184","ZNF184",2.32766672123253e-06,0.0399543992699564
"CDC7","CDC7",1.48968265767351e-10,2.55704028189659e-06
"ERMP1","ERMP1",2.24315360340824e-07,0.00385037316025024
"RAB18","RAB18",1.32506067792736e-07,0.00227446665366231
"POLE2","POLE2",1.39620760194669e-07,0.00239659034874149
"VCPKMT","VCPKMT",5.13492381162354e-07,0.0088140967226518
"SOS2","SOS2",2.59392355410507e-10,4.45246978062135e-06
"NIN","NIN",3.65490576066915e-07,0.00627364573818859
"PYGL","PYGL",7.50114342909507e-07,0.0128757126960417
"DDHD1","DDHD1",1.2608829415526e-06,0.0216430556917504
"CDKN3","CDKN3",1.56528226919346e-07,0.00268680701507058
"CGRRF1","CGRRF1",2.34970776473247e-13,4.03327337816328e-09
"PIGH","PIGH",1.20020326393522e-07,0.00206014890254481
"KIAA0586","KIAA0586",1.22326374386371e-06,0.0209973221634205
"GSKIP","GSKIP",1.29514436657817e-06,0.0222311530523143
"VRK1","VRK1",1.78199882037497e-06,0.0305880097517364
"BRMS1L","BRMS1L",8.6334393689482e-17,1.48192986767996e-12
"GINS1","GINS1",5.10146371864039e-07,0.00875666247304623
"FAM83D","FAM83D",7.18313868290841e-10,1.23298575492123e-05
"NXT2","NXT2",2.16968658262895e-20,3.72426701908259e-16
"MOSPD1","MOSPD1",8.39965869856228e-08,0.00144180141560822
"ATP11C","ATP11C",2.41830567190481e-18,4.15102168582461e-14
"ARMCX3","ARMCX3",1.99581018164225e-07,0.00342580817678893
"DGKH","DGKH",1.37156336407e-10,2.35428851442616e-06
"CLN5","CLN5",8.60828715340779e-09,0.000147761248988245
"HSDL1","HSDL1",7.24545254308714e-07,0.0124368192902091
"CCP110","CCP110",1.38510013105848e-14,2.37752437496188e-10
"CEMIP","CEMIP",3.05483467165001e-07,0.00524362371388724
"DMXL2","DMXL2",5.56153564681356e-13,9.54637593775548e-09
"CA2","CA2",5.23794544980741e-10,8.99093336459442e-06
"RIPK2","RIPK2",6.03100683676686e-09,0.000103522232353103
"GDAP1","GDAP1",4.60925563049143e-07,0.00791178728973855
"ESRP1","ESRP1",6.59247421767824e-07,0.0113159819946447
"ERI1","ERI1",1.26612166824737e-07,0.0021732978435466
"MTMR9","MTMR9",5.04679737623256e-09,8.6628276963032e-05
"UBXN8","UBXN8",5.93613150623822e-11,1.01893697304579e-06
"TUSC3","TUSC3",4.19685110501663e-10,7.20389492176105e-06
"CEACAM5","CEACAM5",1.1153857360022e-06,0.0191455961584778
"ZNF14","ZNF14",4.27244341557074e-09,7.33364912282717e-05
"ZNF85","ZNF85",5.22259720452274e-13,8.96458810156329e-09
"TTC26","TTC26",1.27615325746974e-06,0.021905170664468
"CAV1","CAV1",3.73780723196309e-14,6.41594611366465e-10
"MET","MET",1.04068628625063e-11,1.7863380103492e-07
